Text,Platform,Scheduled Date
"You hear the lali drum before you see the village. Then you ask the chief for permission to come ashore.

📍 Sabata Village, Navua River
#Fiji #FijiCulture",Instagram,Week 1 Mon
"You hear the lali drum before you see the village. Then you ask the chief for permission to come ashore.

📍 Sabata Village, Navua River
#Fiji #FijiCulture",Facebook,Week 1 Mon
"Denarau sits fifteen minutes from the Nadi airport. That proximity is the entire reason it exists.

Nanuku is fifty-five miles the other way — 34 villas across 500 private acres, and nearly two miles of beach my client ran alone at 5:40 every morning.

Same country. Same flight. Every point on this map plotted from their own photos.

📍 Pacific Harbour, Fiji
#Fiji #TravelPlanning",Instagram,Week 1 Wed
"Denarau sits fifteen minutes from the Nadi airport. That proximity is the entire reason it exists.

Nanuku is fifty-five miles the other way — 34 villas across 500 private acres, and nearly two miles of beach my client ran alone at 5:40 every morning.

Same country. Same flight. Every point on this map plotted from their own photos.

📍 Pacific Harbour, Fiji
#Fiji #TravelPlanning",Facebook,Week 1 Wed
,Instagram,Week 1 Thu
,Facebook,Week 1 Thu
,Instagram,Week 1 Thu
,Facebook,Week 1 Thu
,Instagram,Week 1 Thu
,Facebook,Week 1 Thu
,Instagram,Week 1 Thu
,Facebook,Week 1 Thu
,Instagram,Week 1 Thu
,Facebook,Week 1 Thu
,Instagram,Week 1 Thu
,Facebook,Week 1 Thu
,Instagram,Week 1 Thu
,Facebook,Week 1 Thu
"There is no field on a booking form for ""it's her 50th.""

They arrived at Nanuku after twenty-two hours of travel to a bed dressed with frangipani and a hand-painted sign that said BULA WELCOME HOME. Nobody asked them anything at check-in. They didn't have to — the property had known for weeks.

That's the whole difference between a booking and a brief. A search engine can rank ten thousand hotels by price. It cannot ring ahead, because it isn't talking to anyone.

I am. That's most of what the fee is actually for.

She cried, apparently. Then she ate the cake.

📍 Nanuku, Pacific Harbour, Fiji
#Fiji #TravelAdvisor",Instagram,Week 2 Mon
"There is no field on a booking form for ""it's her 50th.""

They arrived at Nanuku after twenty-two hours of travel to a bed dressed with frangipani and a hand-painted sign that said BULA WELCOME HOME. Nobody asked them anything at check-in. They didn't have to — the property had known for weeks.

That's the whole difference between a booking and a brief. A search engine can rank ten thousand hotels by price. It cannot ring ahead, because it isn't talking to anyone.

I am. That's most of what the fee is actually for.

She cried, apparently. Then she ate the cake.

📍 Nanuku, Pacific Harbour, Fiji
#Fiji #TravelAdvisor",Facebook,Week 2 Mon
"Sixteen villas, adults only, no day visitors. Royal Davui is a boat ride from the mainland and a different planet.

📍 Beqa Lagoon, Fiji
#Fiji #PrivateIsland",Instagram,Week 2 Wed
"Sixteen villas, adults only, no day visitors. Royal Davui is a boat ride from the mainland and a different planet.

📍 Beqa Lagoon, Fiji
#Fiji #PrivateIsland",Facebook,Week 2 Wed
"You don't drive to Sabata Village. You go eleven miles up the Navua River by longboat.

Then you present kava to the chief and ask permission to come ashore.

It's called sevusevu. Knees and shoulders covered, hats off, and you drink the cup in one go.

Worth knowing before you turn up anywhere in Fiji.

📍 Navua River, Fiji
#Fiji #TravelTips",Instagram,Week 2 Fri
"You don't drive to Sabata Village. You go eleven miles up the Navua River by longboat.

Then you present kava to the chief and ask permission to come ashore.

It's called sevusevu. Knees and shoulders covered, hats off, and you drink the cup in one go.

Worth knowing before you turn up anywhere in Fiji.

📍 Navua River, Fiji
#Fiji #TravelTips",Facebook,Week 2 Fri
"They weren't guests. They were invited.

Sixteen villas on a private island in the Beqa Lagoon, and the owners are friends of mine. That's not a booking — that's a phone call.

📍 Royal Davui, Fiji
#Fiji #PrivateIsland",Instagram,Week 3 Mon
"They weren't guests. They were invited.

Sixteen villas on a private island in the Beqa Lagoon, and the owners are friends of mine. That's not a booking — that's a phone call.

📍 Royal Davui, Fiji
#Fiji #PrivateIsland",Facebook,Week 3 Mon
"A design fee bought a lay-flat upgrade, a pro surfer, a 1,500-dive guide, and an island whose owners I know.

Link in bio.
#TravelAdvisor #Fiji",Instagram,Week 3 Wed
